track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Say Yes To Heaven,6GGtHZgBycCgGBUhZo81xe,Lana Del Rey,1,2023,5,19,89,70.89999999999999,49.0,209156,35.2,8.559999999999999,6,11.4,-11.577,0,2.54,99.992,4,0.166
Coal,4dtIxANFBU6CfhI9c2hf2g,Dylan Gossett,1,2023,7,27,82,75.3,52.2,194440,22.3,0.0,1,16.5,-9.561,0,3.45,97.045,4,0.439
Suburban Legends (Taylor's Version) (From The Vault),6T0sEnqjmHISIKwFETeeiP,Taylor Swift,1,2023,10,26,85,19.8,69.89999999999999,171819,62.1,0.0,0,10.4,-8.739,1,3.69,118.048,4,0.344
White Horse,7MSWxMumjz6lHj7oRApNbg,Chris Stapleton,1,2023,7,21,81,0.16,35.3,267893,77.0,59.8,1,10.9,-11.066,0,4.93,145.225,4,0.224
Now That We Don't Talk (Taylor's Version) (From The Vault),5QUIK7ZtziW8kGWo8RqopF,Taylor Swift,1,2023,10,27,83,16.0,80.0,146437,50.1,0.00714,0,8.74,-9.332,1,3.4000000000000004,110.013,4,0.0831
Great Gatsby,4M68xjcc42oxyphhzpOWXS,Rod Wave,1,2023,9,15,80,3.82,67.0,146808,55.50000000000001,0.000636,1,41.4,-9.12,0,9.08,156.937,4,0.16
Feather,2Zo1PcszsT9WQ0ANntJbID,Sabrina Carpenter,1,2023,3,17,87,8.93,78.7,185553,68.60000000000001,0.0,6,9.27,-4.37,0,3.39,123.51,4,0.836
CLASSY 101,6XSqqQIy7Lm7SnwxS4NrGx,Feid & Young Miko,2,2023,3,31,92,14.499999999999998,85.9,195987,65.8,0.0,11,12.0,-4.79,1,15.9,100.065,4,0.672
MY EYES,4kjI1gwQZRKNDkw1nI475M,Travis Scott,1,2023,7,28,87,65.10000000000001,45.5,251250,62.1,0.000259,0,12.3,-7.694,0,5.17,119.043,4,0.28
Moonlight,0JmnkIqdlnUzPaf8sqBRs3,Kali Uchis,1,2023,3,3,85,51.8,64.2,187723,70.6,0.0,7,25.0,-6.872,0,5.2,136.851,4,0.896
ecstacy (slowed),1JgknGBbrfmEHeOZH051SS,SUICIDAL-IDOL,1,2023,6,6,88,1.73,55.1,119120,67.7,0.0,2,38.1,-7.311,1,6.65,106.414,4,0.195
lacy,6QT6j7rKt7Vk3IuV2AUO9W,Olivia Rodrigo,1,2023,9,8,84,80.30000000000001,45.5,177212,37.9,0.0,3,10.9,-7.628,1,3.41,76.967,4,0.413
Out Of The Woods (Taylor's Version),045ZeOHPIzhxxsm8bq5kyE,Taylor Swift,1,2023,10,26,85,0.0511999999999999,54.7,235800,88.5,0.00937,0,39.0,-5.961,1,4.18,91.992,4,0.192
